circMI,circRBP,circTR
ALU,junction,junction
miRNA,repeat,methylation
repeat,cons_2,cons_2
methylation,ALU,repeat
junction,methylation,H3k27ac
cons_2,cons_1,ALU
cons_1,H3k27ac,cons_1
graph_73,TF,TF
graph_6,graph_28,graph_74
TF,graph_33,graph_9
H3k27ac,A-to-I,graph_56
graph_56,graph_59,graph_55
tri_39,graph_16,graph_33
graph_44,graph_22,graph_59
graph_83,graph_7,SNP
graph_58,graph_81,graph_101
graph_79,graph_101,A-to-I
tri_40,graph_88,graph_35
graph_97,SNP,graph_28
tri_41,graph_19,graph_51
tri_17,graph_51,graph_88
graph_61,graph_30,graph_89
graph_31,graph_35,tri_39
graph_20,graph_6,graph_17
graph_74,graph_96,graph_63
graph_22,graph_97,graph_82
tri_6,graph_74,graph_81
graph_65,graph_45,graph_97
graph_3,graph_87,graph_77
A-to-I,graph_23,graph_23
tri_27,graph_32,graph_90
graph_7,graph_71,graph_22
graph_9,graph_36,graph_2
graph_54,graph_72,graph_12
graph_33,graph_63,graph_16
tri_49,graph_24,graph_78
tri_13,graph_18,graph_96
graph_93,graph_77,graph_57
tri_68,graph_43,graph_50
graph_36,graph_38,graph_64
SNP,tri_37,graph_40
graph_87,graph_27,tri_42
graph_2,graph_4,graph_45
graph_29,tri_40,graph_32
graph_86,tri_68,tri_37
tri_1,graph_61,tri_36
graph_60,tri_36,tri_16
graph_23,graph_82,graph_47
tri_64,graph_93,graph_27
graph_81,tri_14,graph_79
graph_15,graph_50,graph_87
tri_21,graph_55,tri_58
graph_76,tri_3,graph_14
graph_38,graph_9,graph_30
graph_89,tri_13,graph_18
graph_30,tri_39,tri_65
graph_43,graph_25,graph_38
graph_71,graph_56,graph_91
graph_84,graph_68,tri_68
graph_4,graph_79,graph_37
tri_20,graph_53,graph_26
tri_8,graph_17,graph_24
graph_52,graph_89,graph_54
tri_62,tri_65,graph_93
tri_38,graph_94,graph_10
tri_60,graph_20,graph_98
graph_28,tri_33,graph_4
graph_12,graph_1,graph_7
graph_34,graph_44,graph_1
graph_77,graph_90,tri_25
tri_4,graph_73,tri_40
graph_32,tri_4,graph_44
graph_75,graph_26,graph_95
graph_95,graph_57,graph_73
graph_91,graph_64,graph_72
tri_3,graph_78,graph_19
graph_25,graph_2,graph_83
graph_11,miRNA,graph_20
tri_52,tri_49,graph_15
graph_26,graph_62,graph_11
tri_45,graph_83,tri_26
graph_98,graph_99,tri_27
graph_92,graph_31,tri_2
tri_63,tri_5,tri_52
tri_31,tri_42,graph_94
tri_54,graph_3,graph_67
tri_43,tri_17,tri_55
tri_51,tri_55,graph_34
graph_69,tri_11,graph_49
graph_67,graph_40,graph_53
graph_80,tri_43,graph_29
graph_78,tri_20,graph_75
graph_42,graph_37,graph_6
graph_68,tri_35,graph_84
graph_40,graph_65,tri_49
graph_27,graph_47,graph_3
graph_59,graph_49,graph_68
graph_35,tri_52,tri_13
graph_53,graph_10,graph_36
graph_49,tri_26,tri_9
graph_46,graph_15,graph_31
graph_63,tri_2,tri_4
graph_21,tri_47,tri_15
graph_24,graph_54,graph_46
tri_16,graph_52,graph_43
tri_33,tri_58,graph_86
tri_7,graph_76,tri_1
tri_36,graph_11,graph_71
graph_10,graph_84,tri_30
tri_18,graph_41,tri_54
tri_14,graph_67,tri_43
graph_17,graph_69,tri_31
tri_11,tri_16,graph_62
graph_19,tri_38,graph_41
tri_69,graph_98,tri_3
tri_58,graph_29,tri_50
graph_57,tri_9,graph_13
tri_56,graph_95,tri_41
tri_55,graph_75,graph_69
tri_42,tri_7,tri_19
graph_82,graph_100,tri_56
tri_35,graph_12,tri_33
tri_32,graph_34,graph_80
tri_61,tri_22,tri_11
tri_26,graph_14,tri_35
tri_24,tri_54,tri_7
graph_90,graph_80,tri_8
graph_55,tri_27,graph_25
graph_16,tri_50,graph_52
graph_50,graph_91,graph_39
graph_47,tri_10,graph_65
graph_1,graph_86,graph_42
tri_47,tri_25,graph_61
graph_8,tri_56,tri_67
graph_94,tri_57,tri_32
graph_13,tri_62,tri_51
tri_34,tri_21,tri_12
graph_41,tri_1,graph_100
tri_65,tri_41,graph_58
graph_72,graph_39,tri_17
tri_19,graph_13,tri_6
graph_37,tri_30,tri_20
graph_39,graph_46,graph_48
tri_25,tri_32,graph_99
graph_85,tri_51,tri_59
tri_37,tri_8,tri_60
graph_14,tri_53,tri_38
graph_96,graph_42,tri_29
tri_23,graph_48,tri_44
tri_44,tri_60,tri_22
graph_66,graph_8,tri_23
graph_99,tri_45,tri_14
graph_100,tri_24,graph_76
tri_50,tri_15,tri_18
tri_2,tri_63,tri_45
graph_48,tri_59,tri_21
tri_9,tri_46,graph_85
graph_51,tri_69,tri_34
tri_5,tri_44,tri_5
tri_12,tri_64,graph_60
graph_18,graph_5,tri_46
tri_10,graph_66,tri_53
tri_59,tri_66,tri_61
graph_70,tri_31,tri_10
tri_48,tri_6,tri_64
graph_5,tri_29,graph_66
tri_28,tri_67,tri_47
tri_57,tri_12,graph_8
tri_66,graph_85,tri_57
tri_53,tri_34,graph_21
graph_62,tri_23,tri_24
graph_64,graph_92,tri_66
graph_88,graph_21,tri_63
tri_15,tri_18,tri_69
graph_45,tri_19,tri_48
tri_30,graph_58,miRNA
tri_29,tri_61,graph_5
tri_46,graph_60,tri_62
graph_101,tri_28,graph_92
tri_22,tri_48,graph_70
tri_67,graph_70,tri_28
tri_70,tri_70,tri_70
